similarity,sentence1,sentence2
1,Khái niệm đường bộ được hiểu như thế nào là đúng,hãy cho biết khái niệm đường bộ 
1,Khái niệm đường bộ được hiểu như thế nào là đúng,giải thích khái niệm đường bộ như thế nào là đúng
0,Khái niệm đường bộ được hiểu như thế nào là đúng,xe máy có thuộc loại phương tiện đường bộ không
0,Khái niệm đường bộ được hiểu như thế nào là đúng,xe đạp có phải loại phương tiện đường sắt không
1,Khái niệm Công trình đường bộ được hiểu như thế nào là đúng,hãy giải thích khái niệm Công trình đường bộ
1,Khái niệm Công trình đường bộ được hiểu như thế nào là đúng,Khái niệm Công trình đường bộ được hiểu như thế nào
0,Khái niệm Công trình đường bộ được hiểu như thế nào là đúng,tại sao không được lấn chiếm lòng đường
0,Khái niệm Công trình đường bộ được hiểu như thế nào là đúng,lấn chiếm lòng đường thường bị phạt bao nhiêu
1,Khái niệm Phần đường xe chạy được hiểu như thế nào là đúng,hãy giải thích khái niệm Phần đường xe chạy là gì
1,Khái niệm Phần đường xe chạy được hiểu như thế nào là đúng,Khái niệm Phần đường xe chạy được hiểu như thế nào
0,Khái niệm Phần đường xe chạy được hiểu như thế nào là đúng,sử dụng xe quá cũ thì bị phạt bao nhiêu
0,Khái niệm Phần đường xe chạy được hiểu như thế nào là đúng,ô tô quá giấy phép lưu hành bị xử phạt như thế nào
1,Khái niệm Làn đường được hiểu như thế nào là đúng,Khái niệm Làn đường được hiểu như thế nào
1,Khái niệm Làn đường được hiểu như thế nào là đúng,hãy giải thích khái niệm Làn đường
0,Khái niệm Làn đường được hiểu như thế nào là đúng,trẻ em dưới 16 tuổi đi xe máy thì bị phạt như thế nào
0,Khái niệm Làn đường được hiểu như thế nào là đúng,độ tuổi bao nhiêu thì được phép sử dụng xe máy
1,Khái niệm Khổ giới hạn của đường bộ được hiểu như thế nào là đúng,hãy giải thích khái niệm Khổ giới hạn của đường bộ
1,Khái niệm Khổ giới hạn của đường bộ được hiểu như thế nào là đúng,Khái niệm Khổ giới hạn của đường bộ được hiểu như thế nào
0,Khái niệm Khổ giới hạn của đường bộ được hiểu như thế nào là đúng,giờ hành chính được quy định như thế nào
0,Khái niệm Khổ giới hạn của đường bộ được hiểu như thế nào là đúng,sử dụng giờ hành chính vào việc trái pháp luật thì phạt bao nhiêu 
1,Khái niệm Dải phân cách được hiểu như thế nào là đúng,Khái niệm Dải phân cách được hiểu như thế nào
1,Khái niệm Dải phân cách được hiểu như thế nào là đúng,hãy cho biết nội dung khái niệm Dải phân cách
0,Khái niệm Dải phân cách được hiểu như thế nào là đúng,không tuân thủ quy định cộng đồng thì bị xử phạt bao nhiêu
0,Khái niệm Dải phân cách được hiểu như thế nào là đúng,chống đối người thi hành công vụ bị xử lí như thế nào
1,Có mấy loại dải phân cách,hãy cho biết có mấy loại dải phân cách
1,Có mấy loại dải phân cách,Có các loại dải phân cách nào
0,Có mấy loại dải phân cách,đèn giao thông để làm gì
0,Có mấy loại dải phân cách,biển báo chỉ đường để làm gì 
1,Trong Luật giao thông đường bộ khái niệm Đường cao tốc được hiểu như thế nào là đúng,hãy giải thích khái niệm Đường cao tốc trong Luật giao thông đường bộ 
1,Trong Luật giao thông đường bộ khái niệm Đường cao tốc được hiểu như thế nào là đúng,Trong Luật giao thông đường bộ khái niệm Đường cao tốc 
0,Trong Luật giao thông đường bộ khái niệm Đường cao tốc được hiểu như thế nào là đúng,biển báo phía trước có công trường đang thi công trông như thế nào 
0,Trong Luật giao thông đường bộ khái niệm Đường cao tốc được hiểu như thế nào là đúng,vỉa hè để làm gì 
1, Phương tiện giao thông đường bộ gồm những loại nào,hãy cho biết Phương tiện giao thông đường bộ gồm những loại nào
1, Phương tiện giao thông đường bộ gồm những loại nào,hãy kể tên các loại Phương tiện giao thông đường bộ 
0, Phương tiện giao thông đường bộ gồm những loại nào,đi qua vòng xuyến theo hướng nào 
0, Phương tiện giao thông đường bộ gồm những loại nào,khi nào được phép băng qua đường 
1, Phương tiện giao thông cơ giới đường bộ gồm những loại nào,hãy cho biết Phương tiện giao thông cơ giới đường bộ gồm những loại nào
1, Phương tiện giao thông cơ giới đường bộ gồm những loại nào,hãy kể tên các loại Phương tiện giao thông cơ giới đường bộ 
0, Phương tiện giao thông cơ giới đường bộ gồm những loại nào,phương tiện giao thông đường sắt gồm những loại nào 
0, Phương tiện giao thông cơ giới đường bộ gồm những loại nào,luật giao thông đường thuỷ quy định như thế nào 
1, Phương tiện giao thông thô sơ đường bộ gồm những loại nào,hãy cho biết Phương tiện giao thông thô sơ đường bộ gồm những loại nào
1, Phương tiện giao thông thô sơ đường bộ gồm những loại nào,hãy kể tên các loại Phương tiện giao thông thô sơ đường bộ 
0, Phương tiện giao thông thô sơ đường bộ gồm những loại nào,đi bộ ở làn đường nào là đúng 
0, Phương tiện giao thông thô sơ đường bộ gồm những loại nào,đi xe trên vỉa hè là đúng hay sai 
1, Phương tiện tham gia giao thông đường bộ gồm những loại nào,hãy tìm hiểu Phương tiện tham gia giao thông đường bộ gồm những loại nào
1, Phương tiện tham gia giao thông đường bộ gồm những loại nào,hãy kể tên các loại Phương tiện tham gia giao thông đường bộ 
0, Phương tiện tham gia giao thông đường bộ gồm những loại nào,đi xe máy ở làn đường nào là đúng 
0, Phương tiện tham gia giao thông đường bộ gồm những loại nào,có được đi xe máy ở làn đường của ô tô không 
1, Người tham gia giao thông đường bộ gồm những thành phần nào,hãy cho biết Người tham gia giao thông đường bộ gồm những thành phần nào
1, Người tham gia giao thông đường bộ gồm những thành phần nào,hãy kể tên các thành phần Người tham gia giao thông đường bộ 
0, Người tham gia giao thông đường bộ gồm những thành phần nào,gây tai nạn thì phải làm gì 
0, Người tham gia giao thông đường bộ gồm những thành phần nào,bỏ trốn khi gây tai nạn thì bị phạt bao nhiêu 
1, Người điều khiển phương tiện tham gia giao thông gồm những thành phần nào,hãy tìm hiểu Người điều khiển phương tiện tham gia giao thông gồm những thành phần nào
1, Người điều khiển phương tiện tham gia giao thông gồm những thành phần nào,hãy kể tên những thành phần Người điều khiển phương tiện tham gia giao thông 
0, Người điều khiển phương tiện tham gia giao thông gồm những thành phần nào,đi xe đạp có cần thiết phải đội mũ bảo hiểm không
0, Người điều khiển phương tiện tham gia giao thông gồm những thành phần nào,đi xe đạp không đội mũ bảo hiểm thì có bị phạt không 
1, Người điều khiển giao thông gồm những thành phần nào,hãy cho biết Người điều khiển giao thông gồm những thành phần nào
1, Người điều khiển giao thông gồm những thành phần nào,hãy kể tên những thành phần Người điều khiển giao thông 
0, Người điều khiển giao thông gồm những thành phần nào,đi bộ có phải đang tham gia giao thông không 
0, Người điều khiển giao thông gồm những thành phần nào,đi bộ có phải điều khiển giao thông không 
1,Người tham gia giao thông phải làm gì để đảm bảo an toàn giao thông đường bộ,hãy cho biết người tham gia giao thông phải làm gì để đảm bảo an toàn giao thông đường bộ
1,Người tham gia giao thông phải làm gì để đảm bảo an toàn giao thông đường bộ,hãy kể tên những việc người tham gia giao thông phải làm để đảm bảo an toàn giao thông đường bộ
0,Người tham gia giao thông phải làm gì để đảm bảo an toàn giao thông đường bộ,đua xe trên đường giao thông bị phạt bao nhiêu 
0,Người tham gia giao thông phải làm gì để đảm bảo an toàn giao thông đường bộ,khi nào cơ quan quản lý giao thông được phép thu giữ phương tiện giao thông 
1,Bảo đảm an toàn giao thông đường bộ là trách nhiệm của ai,hãy cho biết bảo đảm an toàn giao thông đường bộ là trách nhiệm của ai
1,Bảo đảm an toàn giao thông đường bộ là trách nhiệm của ai,Bảo đảm an toàn giao thông đường bộ có phải là trách nhiệm của toàn dân không 
0,Bảo đảm an toàn giao thông đường bộ là trách nhiệm của ai,nộp phí phạt khi vi phạm luật giao thông như thế nào 
0,Bảo đảm an toàn giao thông đường bộ là trách nhiệm của ai,tiền phạt do vi phạm luật giao thông do ai thu giữ 
1,Mọi hành vi vi phạm Luật giao thông đường bộ được xử lý như thế nào,hãy cho biết mọi hành vi vi phạm Luật giao thông đường bộ được xử lý như thế nào
1,Mọi hành vi vi phạm Luật giao thông đường bộ được xử lý như thế nào,Mọi hành vi vi phạm Luật giao thông đường bộ được xử lý theo cán bộ cảnh sát giao thông là đúng hay sai 
0,Mọi hành vi vi phạm Luật giao thông đường bộ được xử lý như thế nào,vượt đèn đỏ sẽ gây ra những hậu quả gì 
